model,test_acc,quantization_error
full_precision,0.8749,0.0
ptq_lin_2,0.1608,0.0030124601908028126
ptq_lin_3,0.5555,0.0008052890188992023
ptq_lin_4,0.7879,0.00025336851831525564
ptq_lin+_2,0.1851,0.0028323980513960123
ptq_lin+_3,0.5496,0.000797493732534349
ptq_lin+_4,0.7861,0.00027040846180170774
ptq_po2_2,0.1045,0.034445010125637054
ptq_po2_3,0.6367,0.001300039584748447
ptq_po2_4,0.7401,0.0005356539622880518
ptq_po2+_2,0.1007,0.03443476930260658
ptq_po2+_3,0.6593,0.0012572185369208455
ptq_po2+_4,0.7341,0.0004909276613034308
qat_lin_2,0.1,0.0002509909390937
qat_lin_3,0.8507,0.0001460570741894053
qat_lin_4,0.8308,3.3193393747063876e-05
qat_lin+_2,0.1,223298442902.68246
qat_lin+_3,0.7903,0.00013707117075056866
qat_lin+_4,0.8146,3.619462456587892e-05
qat_po2_2,0.6407,0.006338723141575047
qat_po2_3,0.7383,0.00031450106960215056
qat_po2_4,0.8307,7.293583798966166e-05
qat_po2+_2,0.6171,0.006526460117240184
qat_po2+_3,0.6302,0.00031863962027356646
qat_po2+_4,0.8505,6.903600711755245e-05
