model,test_acc,quantization_error
full_precision,0.9062,0.0
ptq_lin_2,0.0929,0.0009175916784442961
ptq_lin_3,0.5,0.00024747871793806553
ptq_lin_4,0.8476,7.545763219241053e-05
ptq_lin+_2,0.1211,0.0008552908548153937
ptq_lin+_3,0.4822,0.00024290449800901115
ptq_lin+_4,0.7838,7.827971421647817e-05
ptq_po2_2,0.1,0.016561895608901978
ptq_po2_3,0.4045,0.0006539320456795394
ptq_po2_4,0.7022,0.00015151634579524398
ptq_po2+_2,0.1,0.01655976101756096
ptq_po2+_3,0.5363,0.0006420530844479799
ptq_po2+_4,0.7147,0.0001389240933349356
qat_lin_2,0.1,8294559825.624946
qat_lin_3,0.8863,0.00512987086918518
qat_lin_4,0.9047,0.0011305808509903903
qat_lin+_2,0.1,482164446.1915847
qat_lin+_3,0.898,0.004865320493103661
qat_lin+_4,0.9007,0.0012359148808527324
qat_po2_2,0.825,0.1640566253534904
qat_po2_3,0.889,0.006753908748533985
qat_po2_4,0.9038,0.002252100898015333
qat_po2+_2,0.8391,0.16122072744296817
qat_po2+_3,0.8876,0.006738931132287371
qat_po2+_4,0.9023,0.0020437052760204563
