model,test_acc,quantization_error
full_precision,0.9258,0.0
ptq_lin_2,0.1965,0.0008836192428134382
ptq_lin_3,0.87,0.00024267153639812022
ptq_lin_4,0.9108,6.53779788990505e-05
ptq_lin+_2,0.1173,0.0008249872480519116
ptq_lin+_3,0.8201,0.0002306744281668216
ptq_lin+_4,0.8984,6.58531571389176e-05
ptq_po2_2,0.1087,0.015572587959468365
ptq_po2_3,0.8599,0.0004710573994088918
ptq_po2_4,0.9052,0.00013878488971386105
ptq_po2+_2,0.1096,0.015571692027151585
ptq_po2+_3,0.8772,0.00046030423254705966
ptq_po2+_4,0.8957,0.00012710662849713117
qat_lin_2,0.9272,0.00837680503510206
qat_lin_3,0.9376,0.0017152595555227584
qat_lin_4,0.9355,0.00043146459814496715
qat_lin+_2,0.9258,0.008045044523186756
qat_lin+_3,0.9317,0.0016511261006021682
qat_lin+_4,0.9357,0.00044121653787082614
qat_po2_2,0.9212,0.09333948359438554
qat_po2_3,0.9346,0.0036136709095444045
qat_po2_4,0.9351,0.0008351550843543438
qat_po2+_2,0.9205,0.09324403388834576
qat_po2+_3,0.9319,0.003783475542327383
qat_po2+_4,0.9361,0.0008101574760696526
