epoch,train_loss,train_acc,test_acc,quantization_error
0,1.882691875,"tensor(0.2865, device='cuda:0')",0.0
1,1.4677453125,"tensor(0.4567, device='cuda:0')",0.0
2,1.200264140625,"tensor(0.5677, device='cuda:0')",0.0
3,1.0023740625,"tensor(0.6420, device='cuda:0')",0.0
4,0.88325390625,"tensor(0.6863, device='cuda:0')",0.0
5,0.7915771875,"tensor(0.7231, device='cuda:0')",0.0
6,0.695220703125,"tensor(0.7562, device='cuda:0')",0.0
7,0.6412934765625,"tensor(0.7787, device='cuda:0')",0.0
8,0.609635546875,"tensor(0.7891, device='cuda:0')",0.0
9,0.5638481640625,"tensor(0.8039, device='cuda:0')",0.0
10,0.5445746875,"tensor(0.8116, device='cuda:0')",0.0
11,0.510528984375,"tensor(0.8245, device='cuda:0')",0.0
12,0.4895875390625,"tensor(0.8314, device='cuda:0')",0.0
13,0.4723706640625,"tensor(0.8369, device='cuda:0')",0.0
14,0.4596296484375,"tensor(0.8423, device='cuda:0')",0.0
15,0.436726171875,"tensor(0.8501, device='cuda:0')",0.0
16,0.4382365625,"tensor(0.8480, device='cuda:0')",0.0
17,0.4119252734375,"tensor(0.8580, device='cuda:0')",0.0
18,0.4020639453125,"tensor(0.8601, device='cuda:0')",0.0
19,0.389307265625,"tensor(0.8655, device='cuda:0')",0.0
20,0.3749054296875,"tensor(0.8699, device='cuda:0')",0.0
21,0.35830859375,"tensor(0.8752, device='cuda:0')",0.0
22,0.356501875,"tensor(0.8763, device='cuda:0')",0.0
23,0.341843515625,"tensor(0.8829, device='cuda:0')",0.0
24,0.3294832421875,"tensor(0.8860, device='cuda:0')",0.0
25,0.3228669921875,"tensor(0.8879, device='cuda:0')",0.0
26,0.320927890625,"tensor(0.8893, device='cuda:0')",0.0
27,0.31607111328125,"tensor(0.8921, device='cuda:0')",0.0
28,0.306809140625,"tensor(0.8929, device='cuda:0')",0.0
29,0.30578080078125,"tensor(0.8944, device='cuda:0')",0.0
30,0.29319625,"tensor(0.8977, device='cuda:0')",0.0
31,0.29313791015625,"tensor(0.8970, device='cuda:0')",0.0
32,0.280972578125,"tensor(0.9019, device='cuda:0')",0.0
33,0.282583203125,"tensor(0.9018, device='cuda:0')",0.0
34,0.273765625,"tensor(0.9046, device='cuda:0')",0.0
35,0.275504609375,"tensor(0.9047, device='cuda:0')",0.0
36,0.268329140625,"tensor(0.9067, device='cuda:0')",0.0
37,0.27039513671875,"tensor(0.9051, device='cuda:0')",0.0
38,0.26789771484375,"tensor(0.9063, device='cuda:0')",0.0
39,0.257101640625,"tensor(0.9102, device='cuda:0')",0.0
40,0.2589930859375,"tensor(0.9098, device='cuda:0')",0.0
41,0.26175353515625,"tensor(0.9085, device='cuda:0')",0.0
42,0.2554586328125,"tensor(0.9118, device='cuda:0')",0.0
43,0.2498073046875,"tensor(0.9125, device='cuda:0')",0.0
44,0.24822966796875,"tensor(0.9139, device='cuda:0')",0.0
45,0.248152890625,"tensor(0.9148, device='cuda:0')",0.0
46,0.24269271484375,"tensor(0.9153, device='cuda:0')",0.0
47,0.248059765625,"tensor(0.9126, device='cuda:0')",0.0
48,0.2393326171875,"tensor(0.9169, device='cuda:0')",0.0
49,0.2381664453125,"tensor(0.9167, device='cuda:0')",0.0
50,0.23259140625,"tensor(0.9196, device='cuda:0')",0.0
51,0.2387575,"tensor(0.9168, device='cuda:0')",0.0
52,0.2284040625,"tensor(0.9208, device='cuda:0')",0.0
53,0.2340312109375,"tensor(0.9180, device='cuda:0')",0.0
54,0.2328376171875,"tensor(0.9177, device='cuda:0')",0.0
55,0.22041455078125,"tensor(0.9238, device='cuda:0')",0.0
56,0.2320125390625,"tensor(0.9195, device='cuda:0')",0.0
57,0.21831056640625,"tensor(0.9237, device='cuda:0')",0.0
58,0.2271121875,"tensor(0.9206, device='cuda:0')",0.0
59,0.22309064453125,"tensor(0.9220, device='cuda:0')",0.0
60,0.223147734375,"tensor(0.9216, device='cuda:0')",0.0
61,0.21587982421875,"tensor(0.9258, device='cuda:0')",0.0
62,0.21673646484375,"tensor(0.9242, device='cuda:0')",0.0
63,0.21577072265625,"tensor(0.9248, device='cuda:0')",0.0
64,0.212113046875,"tensor(0.9259, device='cuda:0')",0.0
65,0.2140492578125,"tensor(0.9232, device='cuda:0')",0.0
66,0.21351056640625,"tensor(0.9259, device='cuda:0')",0.0
67,0.20593603515625,"tensor(0.9282, device='cuda:0')",0.0
68,0.2110496484375,"tensor(0.9266, device='cuda:0')",0.0
69,0.21864041015625,"tensor(0.9234, device='cuda:0')",0.0
70,0.210483203125,"tensor(0.9270, device='cuda:0')",0.0
71,0.2019808984375,"tensor(0.9293, device='cuda:0')",0.0
72,0.20319546875,"tensor(0.9289, device='cuda:0')",0.0
73,0.2092077734375,"tensor(0.9250, device='cuda:0')",0.0
74,0.20358109375,"tensor(0.9290, device='cuda:0')",0.0
75,0.2052546484375,"tensor(0.9269, device='cuda:0')",0.0
76,0.2103007421875,"tensor(0.9265, device='cuda:0')",0.0
77,0.2002615625,"tensor(0.9287, device='cuda:0')",0.0
78,0.207297109375,"tensor(0.9275, device='cuda:0')",0.0
79,0.19941716796875,"tensor(0.9307, device='cuda:0')",0.0
80,0.20352484375,"tensor(0.9278, device='cuda:0')",0.0
81,0.20464328125,"tensor(0.9286, device='cuda:0')",0.0
82,0.11749236328125,"tensor(0.9597, device='cuda:0')",0.0
83,0.086180615234375,"tensor(0.9716, device='cuda:0')",0.0
84,0.074581357421875,"tensor(0.9746, device='cuda:0')",0.0
85,0.06600583984375,"tensor(0.9788, device='cuda:0')",0.0
86,0.0613094921875,"tensor(0.9792, device='cuda:0')",0.0
87,0.054666240234375,"tensor(0.9824, device='cuda:0')",0.0
88,0.0528417236328125,"tensor(0.9826, device='cuda:0')",0.0
89,0.0474543017578125,"tensor(0.9844, device='cuda:0')",0.0
90,0.0458626708984375,"tensor(0.9853, device='cuda:0')",0.0
91,0.04421943359375,"tensor(0.9856, device='cuda:0')",0.0
92,0.0427625439453125,"tensor(0.9857, device='cuda:0')",0.0
93,0.04050880126953125,"tensor(0.9868, device='cuda:0')",0.0
94,0.0383709326171875,"tensor(0.9870, device='cuda:0')",0.0
95,0.035828876953125,"tensor(0.9882, device='cuda:0')",0.0
96,0.03332832275390625,"tensor(0.9891, device='cuda:0')",0.0
97,0.0336975732421875,"tensor(0.9887, device='cuda:0')",0.0
98,0.0301999072265625,"tensor(0.9908, device='cuda:0')",0.0
99,0.0306634033203125,"tensor(0.9899, device='cuda:0')",0.0
100,0.02887841064453125,"tensor(0.9907, device='cuda:0')",0.0
101,0.02703163818359375,"tensor(0.9910, device='cuda:0')",0.0
102,0.0251666259765625,"tensor(0.9918, device='cuda:0')",0.0
103,0.0256609228515625,"tensor(0.9915, device='cuda:0')",0.0
104,0.025263125,"tensor(0.9917, device='cuda:0')",0.0
105,0.022829130859375,"tensor(0.9925, device='cuda:0')",0.0
106,0.02297166015625,"tensor(0.9925, device='cuda:0')",0.0
107,0.022982197265625,"tensor(0.9927, device='cuda:0')",0.0
108,0.0223210546875,"tensor(0.9926, device='cuda:0')",0.0
109,0.022099443359375,"tensor(0.9929, device='cuda:0')",0.0
110,0.01926912353515625,"tensor(0.9942, device='cuda:0')",0.0
111,0.01945577880859375,"tensor(0.9934, device='cuda:0')",0.0
112,0.01990967041015625,"tensor(0.9939, device='cuda:0')",0.0
113,0.0189098291015625,"tensor(0.9942, device='cuda:0')",0.0
114,0.019163330078125,"tensor(0.9938, device='cuda:0')",0.0
115,0.01732174560546875,"tensor(0.9947, device='cuda:0')",0.0
116,0.01740776123046875,"tensor(0.9943, device='cuda:0')",0.0
117,0.01833150390625,"tensor(0.9941, device='cuda:0')",0.0
118,0.017087392578125,"tensor(0.9946, device='cuda:0')",0.0
119,0.0156881591796875,"tensor(0.9951, device='cuda:0')",0.0
120,0.0167754833984375,"tensor(0.9944, device='cuda:0')",0.0
121,0.016529571533203124,"tensor(0.9949, device='cuda:0')",0.0
122,0.0177876318359375,"tensor(0.9943, device='cuda:0')",0.0
123,0.013812391357421875,"tensor(0.9957, device='cuda:0')",0.0
124,0.0114669873046875,"tensor(0.9965, device='cuda:0')",0.0
125,0.011631796875,"tensor(0.9967, device='cuda:0')",0.0
126,0.00978974609375,"tensor(0.9974, device='cuda:0')",0.0
127,0.0101303564453125,"tensor(0.9971, device='cuda:0')",0.0
128,0.010444617919921875,"tensor(0.9970, device='cuda:0')",0.0
129,0.009958517456054687,"tensor(0.9974, device='cuda:0')",0.0
130,0.00943593505859375,"tensor(0.9976, device='cuda:0')",0.0
131,0.009855022583007812,"tensor(0.9974, device='cuda:0')",0.0
132,0.009347115478515624,"tensor(0.9976, device='cuda:0')",0.0
133,0.008444292602539063,"tensor(0.9978, device='cuda:0')",0.0
134,0.0086659619140625,"tensor(0.9978, device='cuda:0')",0.0
135,0.008651483764648438,"tensor(0.9977, device='cuda:0')",0.0
136,0.008282825927734374,"tensor(0.9978, device='cuda:0')",0.0
137,0.008283057250976562,"tensor(0.9982, device='cuda:0')",0.0
138,0.00849636962890625,"tensor(0.9981, device='cuda:0')",0.0
139,0.008010844116210938,"tensor(0.9980, device='cuda:0')",0.0
140,0.0081527392578125,"tensor(0.9979, device='cuda:0')",0.0
141,0.007846091918945312,"tensor(0.9981, device='cuda:0')",0.0
