epoch,train_loss,train_acc,quantization_error
0,1.86027859375,0.2834,0.0
1,1.47664109375,0.4444,0.0
2,1.22207765625,0.5556,0.0
3,1.04319609375,0.6214,0.0
4,0.915326328125,0.6722,0.0
5,0.820934609375,0.7088,0.0
6,0.72824109375,0.7438,0.0
7,0.6728278125,0.7665,0.0
8,0.6323055859375,0.7807,0.0
9,0.591630703125,0.7956,0.0
10,0.561938046875,0.8057,0.0
11,0.53338796875,0.8154,0.0
12,0.506966328125,0.8246,0.0
13,0.49408171875,0.828,0.0
14,0.4731266796875,0.8361,0.0
15,0.463216796875,0.8396,0.0
16,0.45380171875,0.8447,0.0
17,0.4319366015625,0.8502,0.0
18,0.418167890625,0.8563,0.0
19,0.41320375,0.8565,0.0
20,0.39289203125,0.8648,0.0
21,0.3748773828125,0.8704,0.0
22,0.369000390625,0.8712,0.0
23,0.362455703125,0.8743,0.0
24,0.34459453125,0.8819,0.0
25,0.3470527734375,0.8795,0.0
26,0.3325855859375,0.8865,0.0
27,0.333054140625,0.8832,0.0
28,0.32747310546875,0.8866,0.0
29,0.32373640625,0.889,0.0
30,0.31339962890625,0.8911,0.0
31,0.3123707421875,0.8914,0.0
32,0.308296875,0.8933,0.0
33,0.302876875,0.8937,0.0
34,0.29277423828125,0.8976,0.0
35,0.29275671875,0.8993,0.0
36,0.2893736328125,0.8994,0.0
37,0.2896463671875,0.8997,0.0
38,0.2873488671875,0.8985,0.0
39,0.28156109375,0.9018,0.0
40,0.28107,0.9026,0.0
41,0.277948984375,0.9034,0.0
42,0.2745925,0.9043,0.0
43,0.2726684765625,0.9055,0.0
44,0.26902689453125,0.9058,0.0
45,0.266931328125,0.9074,0.0
46,0.2750933203125,0.905,0.0
47,0.26632537109375,0.907,0.0
48,0.25783265625,0.9092,0.0
49,0.26258005859375,0.9078,0.0
50,0.25873626953125,0.9095,0.0
51,0.26149751953125,0.9079,0.0
52,0.25214404296875,0.9125,0.0
53,0.2538187109375,0.9115,0.0
54,0.25446689453125,0.9105,0.0
55,0.24746783203125,0.9137,0.0
56,0.2578271484375,0.9093,0.0
57,0.2471290234375,0.9133,0.0
58,0.24641513671875,0.9143,0.0
59,0.2467866796875,0.9146,0.0
60,0.23806626953125,0.9171,0.0
61,0.24579296875,0.9132,0.0
62,0.24673892578125,0.9128,0.0
63,0.24370625,0.9152,0.0
64,0.2431701953125,0.9156,0.0
65,0.229505546875,0.9197,0.0
66,0.23340869140625,0.9194,0.0
67,0.2393865625,0.9161,0.0
68,0.2305335546875,0.9197,0.0
69,0.23849369140625,0.9167,0.0
70,0.2308720703125,0.9198,0.0
71,0.2319254296875,0.9186,0.0
72,0.234261796875,0.9202,0.0
73,0.2306869140625,0.9183,0.0
74,0.2285585546875,0.9203,0.0
75,0.223403359375,0.923,0.0
76,0.22059595703125,0.9225,0.0
77,0.2310828125,0.9199,0.0
78,0.227710390625,0.9202,0.0
79,0.22714673828125,0.9201,0.0
80,0.2259007421875,0.921,0.0
81,0.2267492578125,0.9214,0.0
82,0.139693046875,0.9516,0.0
83,0.108186455078125,0.9641,0.0
84,0.100262119140625,0.9665,0.0
85,0.0898312109375,0.9704,0.0
86,0.0863686328125,0.9707,0.0
87,0.082569521484375,0.9718,0.0
88,0.078227529296875,0.9745,0.0
