epoch,train_loss,train_acc,quantization_error
0,0.0309007397460937,0.99,0.0002206147037213
1,0.0376995849609375,0.9868,0.0002245576906716
2,0.0669691015625,0.9754,0.0002283004287164
3,0.10101458984375,0.9648,0.0002340126375202
4,0.12587505859375,0.9547,0.0002381826925557
5,0.135438515625,0.9514,0.0002475767105352
6,0.155247431640625,0.945,0.0002557453990448
7,0.16790654296875,0.9404,0.0002659764431882
8,0.1797792578125,0.9356,0.0002739987685345
9,0.1964806640625,0.93,0.0002828124852385
10,0.20699453125,0.9257,0.0002958360710181
11,0.21800232421875,0.9226,0.0003045378543902
12,0.2331540234375,0.9177,0.0003200791834387
13,0.23498017578125,0.9159,0.0003337774833198
14,0.24022916015625,0.9155,0.0003504914639052
15,0.24351177734375,0.915,0.0003612735599745
16,0.26199416015625,0.9086,0.0003782437415793
17,0.2458564453125,0.9139,0.000389041902963
18,0.24496615234375,0.9152,0.0004009998810943
19,0.24487037109375,0.9146,0.0004067813861183
20,0.238253125,0.9175,0.0004122478712815
21,0.234498046875,0.917,0.0004211865598335
22,0.2349519140625,0.9168,0.0004277166444808
23,0.23113001953125,0.9208,0.0004274054081179
24,0.22752431640625,0.9194,0.0004303170717321
25,0.23622302734375,0.9163,0.0004334957338869
26,0.22118294921875,0.9229,0.0004402837948873
27,0.2249878125,0.9205,0.0004396147560328
28,0.22148064453125,0.9217,0.0004393293056637
29,0.22155138671875,0.9236,0.0004355192068032
30,0.2309161328125,0.9182,0.0004397497978061
31,0.22681369140625,0.9204,0.0004494943423196
32,0.21572373046875,0.9243,0.0004433571593835
33,0.22566056640625,0.9211,0.0004461625649128
34,0.210425,0.9267,0.0004481863870751
35,0.21894380859375,0.9235,0.000447542843176
36,0.2193799609375,0.9233,0.0004453182045836
37,0.21449732421875,0.9237,0.0004499515343923
38,0.216033828125,0.9248,0.0004510828002821
39,0.21364923828125,0.9243,0.0004494503082241
40,0.214781796875,0.9246,0.0004565294366329
41,0.2202328125,0.9234,0.0004574485355988
42,0.214094765625,0.9256,0.0004580456297844
43,0.21276453125,0.9257,0.0004580806125886
44,0.21802552734375,0.9239,0.0004587936564348
45,0.2140126953125,0.9253,0.0004591963079292
46,0.21601958984375,0.9244,0.0004648840986192
47,0.2149193359375,0.9256,0.0004599277162924
